969.00;232.00;-1291.00;0.03;0.87;0.25:-863.00;757.00;-2613.00;0.05;-0.14;0.09:-:-1788.00;2938.00;-2321.00;0.03;-0.18;0.32:-3575.00;2113.00;-3933.00;-0.00;-0.02;0.02:
1261.00;308.00;-1081.00;0.02;0.90;0.28:-325.00;768.00;-304.00;0.06;-0.13;0.09:-:-1555.00;2631.00;-2170.00;0.04;-0.21;0.37:-4353.00;2487.00;-2477.00;0.00;-0.08;0.06:
1053.00;226.00;-1072.00;0.02;0.91;0.29:-844.00;528.00;-629.00;0.07;-0.13;0.10:-:-1507.00;2504.00;-2123.00;0.04;-0.21;0.38:-4197.00;2384.00;-2436.00;0.00;-0.10;0.07:
1212.00;304.00;-887.00;0.01;0.92;0.31:-10490.00;-5292.00;-20810.00;1.10;2.13;1.73:-:-1416.00;2360.00;-2022.00;0.05;-0.22;0.41:-3957.00;2240.00;-2387.00;0.01;-0.13;0.09:
989.00;144.00;-1036.00;0.00;0.93;0.33:-457.00;-890.00;-3112.00;0.08;-0.11;0.21:-:-1346.00;2190.00;-1932.00;0.05;-0.23;0.43:-3787.00;2100.00;-2324.00;0.01;-0.16;0.10:
1211.00;280.00;-692.00;-0.01;0.94;0.36:-2714.00;3091.00;541.00;0.07;-0.11;0.66:-:-1151.00;2270.00;-1760.00;0.04;-0.22;0.44:-3464.00;1943.00;-2207.00;0.01;-0.17;0.12:
t
889.00;274.00;-681.00;-0.04;0.94;0.39:-1306.00;5127.00;5132.00;0.08;-0.10;0.59:-:-1141.00;1989.00;-1737.00;0.05;-0.24;0.46:-3229.00;1840.00;-2171.00;0.02;-0.21;0.14:
nt
975.00;242.00;-741.00;-0.05;0.97;0.42:-458.00;336.00;-3583.00;0.06;-0.16;0.24:-:-1186.00;1838.00;-1689.00;0.07;-0.26;0.48:-3111.00;1733.00;-2156.00;0.02;-0.24;0.15:
962.00;185.00;-685.00;-0.06;0.99;0.43:-138.00;165.00;-1426.00;0.06;-0.16;0.19:-:-1046.00;1709.00;-1591.00;0.07;-0.27;0.50:-2897.00;1627.00;-2089.00;0.03;-0.27;0.17:
891.00;188.00;-627.00;-0.07;0.99;0.43:-152.00;502.00;-82.00;0.07;-0.16;0.18:-:-982.00;1632.00;-1539.00;0.08;-0.27;0.51:-2716.00;1526.00;-2032.00;0.03;-0.29;0.18:
881.00;193.00;-598.00;-0.08;1.00;0.44:-301.00;299.00;-383.00;0.06;-0.17;0.18:-:-953.00;1539.00;-1457.00;0.08;-0.28;0.53:-2572.00;1439.00;-1967.00;0.04;-0.31;0.19:
848.00;201.00;-557.00;-0.08;1.00;0.45:-110.00;341.00;-200.00;0.06;-0.17;0.18:-:-883.00;1455.00;-1395.00;0.09;-0.29;0.54:-2415.00;1352.00;-1895.00;0.04;-0.33;0.21:
834.00;167.00;-516.00;-0.08;1.01;0.45:-227.00;390.00;-31.00;0.06;-0.17;0.19:-:-826.00;1389.00;-1323.00;0.09;-0.29;0.56:-2270.00;1274.00;-1803.00;0.05;-0.35;0.22:
813.00;184.00;-448.00;-0.09;1.01;0.46:-204.00;339.00;-119.00;0.06;-0.18;0.19:-:-769.00;1296.00;-1261.00;0.09;-0.30;0.57:-2133.00;1193.00;-1760.00;0.05;-0.36;0.23:
783.00;169.00;-424.00;-0.09;1.01;0.46:-102.00;295.00;-116.00;0.05;-0.18;0.20:-:-740.00;1244.00;-1204.00;0.10;-0.31;0.58:-2028.00;1132.00;-1685.00;0.06;-0.38;0.24:
767.00;181.00;-390.00;-0.09;1.02;0.46:-346.00;335.00;-57.00;0.05;-0.18;0.21:-:-725.00;1185.00;-1161.00;0.10;-0.31;0.59:-1929.00;1068.00;-1626.00;0.06;-0.39;0.25:
771.00;170.00;-377.00;-0.09;1.02;0.47:-64.00;323.00;-1.00;0.05;-0.18;0.21:-:-670.00;1125.00;-1100.00;0.10;-0.31;0.60:-1831.00;1009.00;-1583.00;0.07;-0.40;0.26:
738.00;172.00;-348.00;-0.09;1.02;0.47:-352.00;301.00;-86.00;0.05;-0.19;0.22:-:-661.00;1071.00;-1056.00;0.11;-0.32;0.61:-1751.00;964.00;-1529.00;0.07;-0.41;0.27:
730.00;171.00;-318.00;-0.09;1.03;0.47:-100.00;284.00;-23.00;0.05;-0.18;0.22:-:-609.00;1018.00;-1004.00;0.11;-0.32;0.61:-1656.00;895.00;-1467.00;0.08;-0.42;0.27:
711.00;163.00;-289.00;-0.09;1.03;0.48:-173.00;301.00;14.00;0.05;-0.19;0.22:-:-599.00;974.00;-983.00;0.11;-0.32;0.62:-1567.00;861.00;-1401.00;0.08;-0.44;0.28:
707.00;160.00;-274.00;-0.09;1.03;0.48:-103.00;245.00;-41.00;0.05;-0.19;0.23:-:-556.00;934.00;-917.00;0.12;-0.33;0.63:-1500.00;815.00;-1366.00;0.09;-0.45;0.29:
693.00;159.00;-238.00;-0.09;1.04;0.48:-137.00;249.00;-42.00;0.05;-0.19;0.23:-:-555.00;894.00;-872.00;0.12;-0.33;0.64:-1432.00;773.00;-1316.00;0.09;-0.45;0.30:
679.00;165.00;-236.00;-0.09;1.04;0.48:-89.00;234.00;-40.00;0.05;-0.19;0.23:-:-506.00;857.00;-832.00;0.12;-0.33;0.64:-1350.00;726.00;-1262.00;0.09;-0.46;0.30:
666.00;153.00;-207.00;-0.09;1.04;0.49:-167.00;242.00;-7.00;0.05;-0.19;0.24:-:-492.00;818.00;-809.00;0.13;-0.34;0.65:-1281.00;691.00;-1217.00;0.10;-0.47;0.31:
